Balanced Global Dataset,Liquid (Glass) Composition - in Weight Percent,,,,,,,,,,,,,Clinopyroxene Compositions - in Weight Percent,,,,,,,,,,,,,,,,,,
Sample_ID,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,P2O5,H2O,,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,,P_GPa,T_K,,,,,,
"Patino-Douce, A.E., Beard, J.S> (1995)-APD 588/PC",74.3,0.4,14.8,1.8,0.06,0.45,2.24,2.81,3.09,,,4.9,,50.2,0.87,6.01,10.7,0.41,11.5,18.9,0.99,,,,1.25,1203.15,,,,,,
"Patino-Douce, A.E., Beard, J.S> (1995)-APD 589/PC",72.9,0.58,15,2.16,0.05,0.54,2.29,2.87,3.32,,,4.3,,50.1,0.85,6.49,12.8,0.57,11.7,16.3,0.82,,,,1.25,1233.15,,,,,,
"Patino-Douce, A.E., Beard, J.S> (1995)-APD510/PC",71.1,0.69,15.6,3.16,0.12,0.89,4.08,2.12,2.05,,,5.1,,49.8,0.74,4.86,13,0.56,13.1,16.9,0.49,,,,1,1248.15,,,,,,
"Patino-Douce, A.E., Beard, J.S> (1995)-APD547/PC",73.6,0.32,15.4,1.06,0.03,0.31,1.08,2.86,5.24,,,5,,51.8,0.76,6.56,12.2,0.4,12,15.8,1.25,,,,1.5,1223.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-164",57,4.64,15.69,8.46,0.09,2.75,7.42,3.82,0.13,,,,,49.94,1.49,14.78,7.86,0.12,8.84,13.23,3.26,,,,3,1648.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-164",57,4.64,15.69,8.46,0.09,2.75,7.42,3.82,0.13,,,,,49.94,1.49,14.78,7.86,0.12,8.84,13.23,3.26,,,,3,1648.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A168",56.35,6.25,14.94,8.42,0.09,2.31,6.92,4.2,0.51,,,,,50.02,1.87,15.09,7.79,0.12,8.12,12.81,3.62,,,,3,1598.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A168",56.35,6.25,14.94,8.42,0.09,2.31,6.92,4.2,0.51,,,,,50.02,1.87,15.09,7.79,0.12,8.12,12.81,3.62,,,,3,1598.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A170",55.19,6.07,14.71,9.06,0.1,2.22,7.84,3.68,1.14,,,,,51.19,2,15.74,7.51,0.14,7.85,13,3.91,,,,3,1588.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A170",55.19,6.07,14.71,9.06,0.1,2.22,7.84,3.68,1.14,,,,,51.19,2,15.74,7.51,0.14,7.85,13,3.91,,,,3,1588.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A171",56.03,6.38,15.31,8.27,0.09,2.39,7.44,3.77,0.31,,,,,50.08,1.79,14.86,7.79,0.12,8.26,13.03,3.5,,,,3,1623.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A171",56.03,6.38,15.31,8.27,0.09,2.39,7.44,3.77,0.31,,,,,50.08,1.79,14.86,7.79,0.12,8.26,13.03,3.5,,,,3,1623.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A175",56.07,5.89,15.37,8.34,0.1,2.44,7.61,3.95,0.24,,,,,50.21,1.69,15.22,7.69,0.12,8.27,12.8,3.46,,,,3,1638.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A175",56.07,5.89,15.37,8.34,0.1,2.44,7.61,3.95,0.24,,,,,50.21,1.69,15.22,7.69,0.12,8.27,12.8,3.46,,,,3,1638.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A177-121",56.62,6.47,14.93,7.91,0.09,2.19,6.83,4.14,0.81,,,,,50.31,2.12,15.41,7.73,0.11,7.96,13.1,3.78,,,,3,1608.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A177-121",56.62,6.47,14.93,7.91,0.09,2.19,6.83,4.14,0.81,,,,,50.31,2.12,15.41,7.73,0.11,7.96,13.1,3.78,,,,3,1608.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A177-6",57.6,5.9,16.41,6.92,0.08,1.52,6.73,4.33,0.52,,,,,50.3,2.04,15.45,7.77,0.11,8.11,13.04,3.77,,,,3,1608.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A177-6",57.6,5.9,16.41,6.92,0.08,1.52,6.73,4.33,0.52,,,,,50.3,2.04,15.45,7.77,0.11,8.11,13.04,3.77,,,,3,1608.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A177-82",57.22,5.66,15.35,8.02,0.1,2.28,7.14,3.94,0.28,,,,,49.93,1.87,14.92,7.73,0.11,8.27,13.05,3.55,,,,3,1608.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A177-82",57.22,5.66,15.35,8.02,0.1,2.28,7.14,3.94,0.28,,,,,49.93,1.87,14.92,7.73,0.11,8.27,13.05,3.55,,,,3,1608.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A177-96",57.33,6.18,14.93,7.54,0.09,2.24,7.12,4.09,0.49,,,,,50.77,2.02,15.46,7.76,0.13,7.99,13.15,3.85,,,,3,1608.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A177-96",57.33,6.18,14.93,7.54,0.09,2.24,7.12,4.09,0.49,,,,,50.77,2.02,15.46,7.76,0.13,7.99,13.15,3.85,,,,3,1608.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A184",52.55,2.96,17.52,9.98,0.14,4.17,8.25,4.36,0.05,,,,,48.59,1.23,14.1,7.76,0.17,11.51,15.57,2.02,,,,2,1598.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A188K",61.49,4.12,14.52,6.2,0.06,1.98,6.19,4.01,1.44,,,,,51.62,1.74,14.17,7.34,0.1,8.71,13.65,3.49,,,,3,1588.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A188K",61.49,4.12,14.52,6.2,0.06,1.98,6.19,4.01,1.44,,,,,51.62,1.74,14.17,7.34,0.1,8.71,13.65,3.49,,,,3,1588.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A189",53.47,3.77,15.79,9.87,0.17,4,8.98,3.35,0.07,,,,,49.93,0.96,14.6,7.08,0.14,9.76,14.09,3.07,,,,3,1698.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A189",53.47,3.77,15.79,9.87,0.17,4,8.98,3.35,0.07,,,,,49.93,0.96,14.6,7.08,0.14,9.76,14.09,3.07,,,,3,1698.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A190",51.89,3.19,16.49,10.15,0.15,4.61,9.42,3.5,0.07,,,,,49.66,0.85,14.49,6.76,0.15,10.34,14.45,2.9,,,,3,1723.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A190",51.89,3.19,16.49,10.15,0.15,4.61,9.42,3.5,0.07,,,,,49.66,0.85,14.49,6.76,0.15,10.34,14.45,2.9,,,,3,1723.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A194",50.91,2.77,16.33,10.02,0.16,5.48,9.7,3.2,0.05,,,,,50.31,0.71,14.64,6.24,0.14,11.12,14.88,2.67,,,,3,1748.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A194",50.91,2.77,16.33,10.02,0.16,5.48,9.7,3.2,0.05,,,,,50.31,0.71,14.64,6.24,0.14,11.12,14.88,2.67,,,,3,1748.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A195",54.64,4.54,16.03,9.44,0.12,3.1,8.22,3.79,0.12,,,,,50.55,1.28,15.06,7.63,0.13,9.31,13.7,3.23,,,,3,1673.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A195",54.64,4.54,16.03,9.44,0.12,3.1,8.22,3.79,0.12,,,,,50.55,1.28,15.06,7.63,0.13,9.31,13.7,3.23,,,,3,1673.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A197",49.46,2.02,16.53,9.72,0.16,7.25,10.93,3.13,0.03,,,,,49.69,0.69,13.79,5.7,0.14,12.39,15.45,2.2,,,,3,1773.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A197",49.46,2.02,16.53,9.72,0.16,7.25,10.93,3.13,0.03,,,,,49.69,0.69,13.79,5.7,0.14,12.39,15.45,2.2,,,,3,1773.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A200K",63.64,3.33,15.35,5.18,0.06,1.53,4.93,4.34,1.63,,,,,50.91,1.87,14.29,7.54,0.11,8.9,14.17,3.42,,,,3,1548.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A200K",63.64,3.33,15.35,5.18,0.06,1.53,4.93,4.34,1.63,,,,,50.91,1.87,14.29,7.54,0.11,8.9,14.17,3.42,,,,3,1548.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A202",58.42,4.23,15.51,8.25,0.1,2.53,7.06,3.78,0.13,,,,,50.09,1.75,14.86,8.03,0.13,9.34,13.94,2.97,,,,2.5,1598.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A221K",52.81,2.74,17.1,9.36,0.13,4.02,8.05,4.21,0.52,,,,,48.39,1.09,12.77,7.9,0.16,11.94,15.81,1.81,,,,2,1598.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A252",50.41,2.34,17.08,9.81,0.17,6.22,10.02,3.41,0.03,,,,,50.08,0.74,11.46,6.45,0.17,13.94,16.44,1.58,,,,2,1648.15,,,,,,
"Pertermann, M., and Hirschmann, M.M. (2000)-A284",52.42,6.66,14.49,11.41,0.12,3.25,7.74,3.74,0.16,,,,,48.9,2.12,10.98,9.99,0.17,10.99,15.1,1.99,,,,2,1523.15,,,,,,
"Pertermann, M., Lundstrom, C.C. (2006)-21",63.8,1.08,13.4,7.01,,1.95,4.97,3.57,1.54,,,,,54.1,0.4,2.29,11.6,,15.9,17.2,0.33,,,,0.5,1423.15,,,,,,
"Pertermann, M., Lundstrom, C.C. (2006)-22",56.4,0.89,15.3,9.3,,4.66,7.83,2.88,0.87,,,,,55.1,0.12,1.17,13.7,,25.5,5.18,0.09,,,,0.5,1473.15,,,,,,
"Pertermann, M., Lundstrom, C.C. (2006)-24",72.2,0.7,12.9,3.87,,0.58,1.73,4.6,2.44,,,,,54.7,0.22,0.91,11.8,,13.7,19.6,0.8,,,,0.5,1373.15,,,,,,
"Pertermann, M., Lundstrom, C.C. (2006)-27-Ti",68.2,1.21,13,5.97,,1.22,3.8,3.66,1.83,,,,,54.2,0.31,1.98,11.4,,16.6,16.9,0.33,,,,0.5,1423.15,,,,,,
"Pertermann, M., Lundstrom, C.C. (2006)-28-Ti",57.4,1.04,15.3,9.87,,4.6,7.93,2.88,0.87,,,,,55.6,0.19,2.13,13.8,,26.3,4.23,0.07,,,,0.5,1473.15,,,,,,
"Pertermann, M., Lundstrom, C.C. (2006)-32",57.4,0.9,16.8,8.8,,4.2,8,2.8,1.1,,,1.9,,50.8,0.1,2.6,12.3,,11.7,21.7,0.8,,,,0.5,1423.15,,,,,,
"Pichavant, M., Martel, C., Bourdier, J.-L., Scaillet, B. (2002)-HAB14",52.0635,0.7137,17.2935,6.99975,0.13725,3.2025,7.5945,2.93715,0.53985,,,6.4,,49,0.78,5.92,10,0.39,14.5,19.1,0.39,0.04,,,0.4048,1268.15,,,,,,
"Pichavant, M., Martel, C., Bourdier, J.-L., Scaillet, B. (2002)-HAB15",56.2268,0.7472,16.5318,6.59404,0.11208,2.49378,5.96826,3.25966,1.48506,,,3.9,,49,0.73,5.05,11.2,0.41,15.2,16.8,0.28,0.02,,,0.4048,1268.15,,,,,,
"Pichavant, M., Martel, C., Bourdier, J.-L., Scaillet, B. (2002)-HAB18",49.7799,0.81576,17.3349,7.6941,0.12051,4.19004,8.76942,3.2445,0.76941,,,5.4,,48.7,0.69,6.09,8.18,0.26,14,20.5,0.42,0.08,,,0.3949,1289.15,,,,,,
"Pichavant, M., Martel, C., Bourdier, J.-L., Scaillet, B. (2002)-HAB19",52.3023,0.94839,16.6203,9.07074,0.16902,3.41796,7.23969,2.99541,1.08924,,,4.3,,49.8,0.8,5.72,10.9,0.22,14.3,17.5,0.43,0.06,,,0.3949,1289.15,,,,,,
"Pichavant, M., Martel, C., Bourdier, J.-L., Scaillet, B. (2002)-HAB20",50.73,0.4005,18.067,2.7501,0.2136,3.8804,8.7754,3.3375,0.8099,,,8.3,,43.6,0.96,9.23,9.67,0.04,11.4,23.6,0.33,0.03,,,0.406,1273.15,,,,,,
"Pichavant, M., Martel, C., Bourdier, J.-L., Scaillet, B. (2002)-HAB21",62.2839,0.38171,15.4546,2.63473,0.13965,2.01096,4.61776,3.71469,1.862,,,5,,49.1,0.85,5.45,8.8,0.4,15,19.7,0.41,,,,0.406,1273.15,,,,,,
"Pichavant, M., Martel, C., Bourdier, J.-L., Scaillet, B. (2002)-HAB24",56.5186,0.39646,17.1492,3.227,0.1383,3.54048,6.53698,3.70644,1.03264,,,5.8,,47.3,0.63,6.79,7.91,0.38,14.3,21.1,0.44,0.05,,,0.4058,1298.15,,,,,,
"Pichavant, M., Martel, C., Bourdier, J.-L., Scaillet, B. (2002)-HAB25",59.6498,0.26852,18.7005,2.40709,0.16303,2.32078,7.61446,3.51953,1.30424,,,2.6,,49.8,0.71,6.32,7.35,0.37,15,20.4,0.47,0.07,,,0.4058,1298.15,,,,,,
"Pichavant, M., Martel, C., Bourdier, J.-L., Scaillet, B. (2002)-HAB6",46.992,0.7304,16.984,7.2424,0.1848,3.7928,8.4128,2.9568,0.6864,,,8.1,,50.1,0.57,4.17,6.63,0.21,14.5,22.1,0.2,0.03,,,0.427,1273.15,,,,,,
"Pichavant, M., Martel, C., Bourdier, J.-L., Scaillet, B. (2002)-HAB7",51.3804,0.77435,17.0357,7.61596,0.03644,3.20672,6.77784,3.40714,0.85634,,,6.8,,49.4,0.76,5.78,9.47,0.43,13.54,19.36,0.44,0.08,,,0.427,1273.15,,,,,,
"Pichavant, M., Martel, C., Bourdier, J.-L., Scaillet, B. (2002)-HAB8",53.7425,1.30425,16.1875,9.102,0.15725,2.405,5.74425,2.50675,1.30425,,,5.9,,49.4,0.87,4.6,13.5,0.38,14.1,16.8,0.32,0.08,,,0.427,1273.15,,,,,,
"Pichavant, M., Mysen, B.O., MacDonald, R. (2002)-11 hydrous",48.81,1.44,18.02,9.23,0.23,9.5,9.7,2.89,0.82,0.01,,0.77,,48.35,0.53,7.97,6.39,0.22,15.75,18.75,0.68,0.01,0.27,,1.5,1433.15,,,,,,
"Pichavant, M., Mysen, B.O., MacDonald, R. (2002)-17 hydrous",48.01,1.38,18.53,8.13,0.14,10.24,9.91,2.91,0.7,0.04,,1.26,,49.08,0.38,8.46,5.83,0.23,15.88,17.98,0.94,0.06,0.43,,1.75,1453.15,,,,,,
"Pichavant, M., Mysen, B.O., MacDonald, R. (2002)-19 hydrous",48.06,1.39,17.76,9.2,0.21,10.32,9.92,2.39,0.67,0.07,,1.07,,48.74,0.49,8.96,6.74,0.19,15.59,17.87,0.8,,0.31,,1.75,1473.15,,,,,,
"Pichavant, M., Mysen, B.O., MacDonald, R. (2002)-20 dry",49.8,1.33,18.55,8.48,0.19,7.98,9.37,3.52,0.79,,,,,48.78,0.62,8.68,7.37,0.13,15.8,17.54,0.8,0.02,0.13,,1.25,1483.15,,,,,,
"Pichavant, M., Mysen, B.O., MacDonald, R. (2002)-23 dry",48.25,1.36,17.51,8.56,0.12,10.16,10.44,2.92,0.66,0.02,,,,50.09,0.4,8.15,5.82,0.21,18.31,16.42,0.68,,0.38,,1.3,1503.15,,,,,,
"Pichavant, M., Mysen, B.O., MacDonald, R. (2002)-24 dry",48.28,1.35,17.77,8.75,0.14,9.91,10.07,3.01,0.65,0.07,,,,49.61,0.41,8.52,5.87,0.17,17.27,15.94,0.82,0.02,0.2,,1.5,1513.15,,,,,,
"Pichavant, M., Mysen, B.O., MacDonald, R. (2002)-25 dry",47.99,1.39,17.52,9.3,0.08,10.07,10.11,2.86,0.63,0.04,,,,48.79,0.44,9.3,6.81,0.14,16.64,16.8,0.94,0.05,0.16,,1.5,1533.15,,,,,,
"Pichavant, M., Mysen, B.O., MacDonald, R. (2002)-26 dry",49.46,1.67,18.9,8.51,0.2,7.88,8.68,3.61,1.11,,,,,48.29,0.58,11.01,7.28,0.1,15.6,15.12,1.18,0.02,0.11,,1.75,1513.15,,,,,,
"Pichavant, M., Mysen, B.O., MacDonald, R. (2002)-30 dry",48.57,1.2,16.65,8.6,0.12,10.41,11.28,2.58,0.53,0.07,,,,49.04,0.4,7.96,5.74,0.06,17.35,16.99,0.59,0.01,0.33,,1.1,1493.15,,,,,,
"Pichavant, M., Mysen, B.O., MacDonald, R. (2002)-8 hydrous",48.21,1.14,16.37,7.72,0.2,12.1,11.25,2.36,0.54,0.11,,1.77,,48.61,0.37,9.96,5.4,0.12,15.81,17.99,0.97,0.03,0.25,,1.9,1473.15,,,,,,
"Pichavant, M., Mysen, B.O., MacDonald, R. (2002)-9 dry",48.28,1.18,16.88,9.05,0.19,9.75,11.55,2.5,0.57,0.04,,,,47.55,0.55,8.3,6.85,0.12,16.56,17.36,0.55,0.06,0.26,,1.05,1473.15,,,,,,
"Pickering-Witter, J., Johnston, A.D. (2000)-FER-B4",49.33,0.6,14.83,6.35,0.1,12.35,13.67,2.33,0.09,0.57,,,,51.87,0.14,5.08,2.82,0.06,17.96,19.4,0.38,,2.08,,1,1603.15,,,,,,
"Pickering-Witter, J., Johnston, A.D. (2000)-FER-D2",49.08,0.63,18.25,6.29,0.13,10.66,11.86,2.25,0.33,0.2,,,,51.79,0.25,6.44,4.01,0.1,20.07,15.98,0.33,,1.01,,1,1573.15,,,,,,
"Pickering-Witter, J., Johnston, A.D. (2000)-FER-E3",50.06,0.5,14.83,6.36,0.13,13.01,12.73,1.58,0.09,0.6,,,,53.45,,4.46,4.17,0.14,22.95,13.11,0.25,,1.73,,1,1603.15,,,,,,
"Pickering-Witter, J., Johnston, A.D. (2000)-FER-E6",50.88,0.64,19.09,5.39,0.11,8.52,9.8,4.39,0.41,,,,,52.14,0.32,6.92,3.69,0.1,18.99,16.61,0.59,,1.13,,1,1543.15,,,,,,
"Prouteau, G., Scaillet, B. (2003)-PIN108",66.0953,0.247995,15.0726,1.02872,0.101035,0.53273,2.87491,3.02186,1.94722,,,8.15,,48.02,0.61,7.41,8.31,0.3,11.57,20.61,1.1,0.1,,,0.97,1165.15,,,,,,
"Prouteau, G., Scaillet, B. (2003)-PIN109",62.72,0.23296,15.8592,1.09312,0.09856,0.672,3.69152,3.73632,1.49632,,,10.4,,49.55,0.31,5.03,5.93,0.34,13.79,22.7,0.88,0.02,,,0.97,1165.15,,,,,,
"Prouteau, G., Scaillet, B. (2003)-PIN87",71.34,0.21,16.65,0.95,0.12,0.57,3.68,4.41,2.07,,,7.96,,48.41,0.73,7.06,8.01,0.33,12.44,21.88,0.99,0.02,,,0.83,1165.15,,,,,,
"Prouteau, G., Scaillet, B. (2003)-PIN88",69.67,0.23,17.58,1.06,0.04,0.54,4.11,4.99,1.76,,,9.32,,49.89,0.91,8.72,8.11,0.27,11.5,22.08,0.98,0.01,,,0.83,1165.15,,,,,,
"Prouteau, G., Scaillet, B. (2003)-PIN90",69.1006,0.2351,13.8427,0.921592,0.112848,0.836956,2.20994,4.4575,2.32279,,,5.96,,51.71,0.49,6.55,7.21,0.42,13.89,18.72,1.21,0.13,,,0.96,1216.15,,,,,,
"Prouteau, G., Scaillet, B. (2003)-PIN91",6.53562,0.022344,1.56687,0.107996,0.007448,0.090307,0.304437,0.504602,0.170373,,,6.81,,49.09,0.6,7.65,7.9,0.35,13.06,20.33,1.11,0.06,,,0.96,1216.15,,,,,,
"Prouteau, G., Scaillet, B. (2003)-PIN92",63.0846,0.237848,15.9267,1.30816,0.064036,0.933096,3.68664,4.821,1.42709,,,8.52,,48.72,0.61,6.88,7.38,0.21,12.96,22,0.94,0.04,,,0.96,1216.15,,,,,,
"Prouteau, G., Scaillet, B. (2003)-PIN94",66.2947,0.314193,16.2238,1.41863,0.123773,0.847369,2.92295,5.15086,1.91372,,,4.79,,48.83,0.62,7.63,9.48,0.31,13.35,18.79,1.06,0.02,,,0.98,1268.15,,,,,,
"Prouteau, G., Scaillet, B. (2003)-PIN95",64.2188,0.303008,16.1825,1.73283,0.09469,1.46769,3.88229,5.23636,1.58132,,,5.31,,49.92,0.48,6.01,8.28,0.29,13.54,20.23,1.01,0.04,,,0.98,1268.15,,,,,,
"Prouteau, G., Scaillet, B. (2003)-PIN98s",71.65,0.24,15.26,2.08,0.07,1,2.99,4.5,2.2,,,5.46,,52.11,0.35,5.03,6.78,0.59,14.26,18.14,0.89,0.2,,,0.4,1223.15,,,,,,
"Prouteau, G., Scaillet, B. (2003)-PIN99s",74.84,0.22,13.62,1.83,0.1,0.66,1.99,4.16,2.59,,,4.41,,52.53,0.12,3.19,6.57,,16.03,17.44,0.68,0.16,,,0.4,1223.15,,,,,,
"Putirka, K., Johnson, M., Kinzler, R., Longhi, J., Walker, D. (1996)-A-11",46.67,4.34,16.08,14.2,0.17,6.27,8.08,3.29,1.2,0.01,,,,50.64,1.33,5.86,10.77,0.19,17.63,13.52,0.54,0.02,0.23,,0.8,1473.15,,,,,,
"Putirka, K., Johnson, M., Kinzler, R., Longhi, J., Walker, D. (1996)-A-6",45.86,3.93,13.25,15,0.18,9.76,8.71,2.45,0.94,0.05,,,,51.49,0.75,7.16,9.54,0.17,18.52,11.41,1.07,0.01,0.27,,2,1663.15,,,,,,
"Putirka, K., Johnson, M., Kinzler, R., Longhi, J., Walker, D. (1996)-A-7",44.16,4.11,12.83,14.99,0.18,10.14,8.62,2.8,1.03,0.04,,,,50.82,0.77,5.77,10.23,0.2,20.91,10.06,0.9,0.04,0.23,,1.7,1643.15,,,,,,
"Putirka, K., Johnson, M., Kinzler, R., Longhi, J., Walker, D. (1996)-MA-10",45.38,4.49,11.6,15.14,0.18,8.88,8.53,2.57,1.14,0.03,,,,52.5,0.77,8.15,9.01,0.17,15.81,12.36,1.76,0.02,0.19,,1.5,1573.15,,,,,,
"Putirka, K., Johnson, M., Kinzler, R., Longhi, J., Walker, D. (1996)-MA-12",49.55,1.66,17.46,10.44,0.17,6.48,9.29,3.46,0.17,0.02,,,,50.12,0.61,11.17,6.19,0.13,13.06,17.13,1.57,0.01,0.17,,2,1613.15,,,,,,
"Putirka, K., Johnson, M., Kinzler, R., Longhi, J., Walker, D. (1996)-MA-6",49.9,1.59,17.16,10.31,0.16,7.21,9.95,2.95,0.12,0.01,,,,50.17,0.88,9.08,7.78,0.14,15.44,15.86,0.63,,0.08,,1,1543.15,,,,,,
"Putirka, K., Johnson, M., Kinzler, R., Longhi, J., Walker, D. (1996)-MA-9",49.95,1.48,17.78,10.33,0.18,7.11,9.89,3.06,0.14,0.02,,,,49.94,0.91,7.96,6.9,0.17,16.8,16.93,0.51,0.02,0.16,,0.8,1498.15,,,,,,
"Putirka, K., Johnson, M., Kinzler, R., Longhi, J., Walker, D. (1996)-U-1",36.91,6.13,10.07,13.83,0.25,5.41,13.35,2.53,6.3,,,,,49.66,2.66,4.42,5.58,0.1,13.53,23.59,0.36,0.05,0.03,,0.8,1423.15,,,,,,
"Putirka, K., Johnson, M., Kinzler, R., Longhi, J., Walker, D. (1996)-U-2",36.81,6.18,9.98,13.38,0.27,5.45,13.42,2.49,6.05,0.01,,,,49.46,2.3,4.29,5.57,0.16,13.9,23.56,0.39,0.01,,,1,1443.15,,,,,,
"Putirka, K., Johnson, M., Kinzler, R., Longhi, J., Walker, D. (1996)-U-4",36.94,6.15,9.84,14.6,0.24,5.64,13.54,2.48,6.41,0.02,,,,48.91,2.24,6.13,6.24,0.11,12.51,22.93,0.55,0.04,0.01,,1.5,1498.15,,,,,,
"Putirka, K., Johnson, M., Kinzler, R., Longhi, J., Walker, D. (1996)-U-5",37.21,5.79,9.59,13.89,0.26,5.49,13.52,2.65,6.63,0.02,,,,47.02,2.9,8.65,6.85,0.11,11.62,22.07,0.86,0.64,,,2,1543.15,,,,,,
"Putirka, K., Johnson, M., Kinzler, R., Longhi, J., Walker, D. (1996)-WB-11",47.15,2.64,18.24,10.84,0.15,6.43,8.08,4.19,0.1,,,,,48.11,1.39,10.3,7.23,0.19,13.66,17.15,1.34,,0.14,,1.5,1513.15,,,,,,
"Putirka, K., Johnson, M., Kinzler, R., Longhi, J., Walker, D. (1996)-WB-13",46.89,2.37,17.26,10.32,0.18,6.88,8.76,4.3,0.08,0.02,,,,51.01,0.95,5.43,6.59,0.21,17.68,17.78,0.72,,0.21,,0.8,1473.15,,,,,,
"Putirka, K., Johnson, M., Kinzler, R., Longhi, J., Walker, D. (1996)-WB-14",49.22,2.78,18.15,9.98,0.14,5.21,7.78,4.17,0.08,,,,,49.25,1.37,10.78,6.95,0.07,12.89,17.12,1.5,0.01,0.07,,1.5,1473.15,,,,,,
"Putirka, K., Johnson, M., Kinzler, R., Longhi, J., Walker, D. (1996)-WB-15",50.82,2.24,19.34,11.09,0.19,3.78,6.41,5.6,0.12,,,,,48.99,1.63,8.63,10.58,0.24,13.16,16.06,0.87,,,,1,1373.15,,,,,,
"Putirka, K., Johnson, M., Kinzler, R., Longhi, J., Walker, D. (1996)-WB-17",49.7,2.79,18.72,10.2,0.16,5.07,7,3.58,0.11,0.03,,,,48.81,1.66,10.5,7.2,0.18,12.41,18.22,1.72,0.02,0.12,,1.5,1423.15,,,,,,
"Putirka, K., Johnson, M., Kinzler, R., Longhi, J., Walker, D. (1996)-WB-18",48.34,2.43,16.7,10.36,0.18,7.23,8.9,3.86,0.07,0.03,,,,50.98,0.96,10.5,5.9,0.11,12.23,17.8,1.82,0.03,0.1,,2,1573.15,,,,,,
"Putirka, K.D., Mikaelian, H., Ryerson, F., Shaw, H. (2003)-F17-1",47.5,1.52,20.4,10.2,0.25,1.3,3.8,2.3,6.2,,,,,45.1,2.3,13.8,10.1,0.22,6.3,18.2,3.1,,0.31,,2,1373.15,,,,,,
"Putirka, K.D., Mikaelian, H., Ryerson, F., Shaw, H. (2003)-G185-2-TE",52.6,2.15,15.7,7.6,0.11,2.6,5.1,1.4,3.6,,,,,50.2,1.1,9.2,8.8,0.19,10.9,16.8,2,,,,2,1473.15,,,,,,
"Putirka, K.D., Mikaelian, H., Ryerson, F., Shaw, H. (2003)-G185-3-TE",51.3,2.2,15.2,7.1,0.13,3.8,5.1,1.7,4,,,,,50.6,0.8,9.5,8.08,0.19,11,17.1,2.1,,0.01,,3,1573.15,,,,,,
"Putirka, K.D., Mikaelian, H., Ryerson, F., Shaw, H. (2003)-G185-3-TE",51.3,2.2,15.2,7.1,0.13,3.8,5.1,1.7,4,,,,,50.6,0.8,9.5,8.08,0.19,11,17.1,2.1,,0.01,,3,1573.15,,,,,,
"Putirka, K.D., Mikaelian, H., Ryerson, F., Shaw, H. (2003)-G185P-1",55.9,1.29,17.89,6.8,0.12,3.11,4.16,1.4,3.4,,,,,50.3,0.8,6.3,9.8,0.28,14.6,15.7,1.1,,0.33,,1.5,1373.15,,,,,,
"Putirka, K.D., Mikaelian, H., Ryerson, F., Shaw, H. (2003)-G200-1-TE",60.1,1,18.4,4.1,0.08,0.61,1.7,4.6,4.9,,,,,53.2,0.59,1.8,6.7,0.22,16.5,19.9,0.6,0.01,,,1,1373.15,,,,,,
