Initial Global Dataset,Liquid (Glass) Composition - in Weight Percent,,,,,,,,,,,,,Clinopyroxene Compositions - in Weight Percent,,,,,,,,,,,,
Author - year - id,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,P2O5,H2O,,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,,P_GPa,T_K
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)-B12",48.80,0.58,19.30,8.63,0.17,9.83,11.50,2.77,0.09,,0.17,,,50.40,0.32,10.20,5.38,0.15,19.10,14.90,0.48,,0.08,,1.2,1558.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)-B14",48.10,0.57,18.70,8.14,0.21,10.50,11.90,2.41,0.08,0.06,0.13,,,50.20,0.35,9.80,4.70,0.14,18.80,16.00,0.45,,0.13,,1.1,1563.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)-BIO",48.80,0.58,19.20,8.49,0.20,10.10,11.60,2.74,0.08,,0.16,,,49.30,0.37,11.80,5.11,0.14,18.20,15.50,0.50,,0.17,,1.2,1563.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)-H100",48.60,0.63,18.80,8.76,0.16,9.69,11.50,2.73,0.10,0.03,0.03,,,48.70,0.37,11.80,6.31,0.11,15.90,15.40,0.75,,0.08,,1.5,1618.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)-H101",48.40,0.66,19.30,8.93,0.18,8.78,10.90,2.93,0.10,0.03,0.03,,,49.20,0.31,11.40,5.64,0.11,16.80,15.30,0.62,,0.12,,1.5,1588.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)-H131",48.20,0.70,18.60,9.64,0.21,8.94,10.50,3.09,0.12,,0.04,,,49.70,0.40,10.30,5.64,0.13,17.90,15.80,0.53,,0.14,,1.2,1553.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)-H141",49.00,0.88,17.40,11.00,0.10,8.34,10.60,2.89,0.16,,,,,51.00,0.43,7.02,6.56,0.15,19.80,14.80,0.38,,0.07,,1,1553.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)-H142",48.90,0.81,17.50,10.80,0.11,8.52,10.50,2.99,0.15,,,,,51.70,0.35,6.30,7.56,0.15,20.70,12.40,0.40,,0.11,,1,1543.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)-H192",48.00,0.64,17.90,9.07,0.16,9.49,10.10,2.99,0.14,0.03,0.04,,,51.50,0.45,8.10,6.96,0.17,20.30,12.60,0.56,,0.09,,1.5,1613.15
"Bartels, K.S., Kinzler, R.J., Grove, T.L. (1991)-H201",48.30,0.70,18.70,8.77,0.11,8.73,10.30,3.06,0.13,,0.06,,,50.00,0.43,9.53,6.61,0.16,17.90,14.60,0.65,,0.08,,1.2,1553.15
